2024-03-21 01:26:35 info: Model Cheque loaded.
2024-03-21 01:26:35 info: Model ChequeType loaded.
2024-03-21 01:26:35 info: Model Country loaded.
2024-03-21 01:26:35 info: Model File loaded.
2024-03-21 01:26:35 info: Model FileType loaded.
2024-03-21 01:26:35 info: Model Journal loaded.
2024-03-21 01:26:35 info: Model Subscription loaded.
2024-03-21 01:26:35 info: Model SubscriptionType loaded.
2024-03-21 01:26:35 info: Model Task loaded.
2024-03-21 01:26:35 info: Model TaskComment loaded.
2024-03-21 01:26:35 info: Model TaskJournal loaded.
2024-03-21 01:26:35 info: Model TaskStatus loaded.
2024-03-21 01:26:35 info: Model User loaded.
2024-03-21 01:26:35 info: Model UserRole loaded.
2024-03-21 01:26:35 info: Model UsersFiles loaded.
2024-03-21 01:26:35 info: Model UsersSubscriptions loaded.
2024-03-21 01:26:35 info: Controller archiveController.js loaded.
2024-03-21 01:26:35 info: Controller authenticationController.js loaded.
2024-03-21 01:26:35 info: Controller backupController.js loaded.
2024-03-21 01:26:36 info: Controller chequeController.js loaded.
2024-03-21 01:26:36 info: Controller chequeTypeController.js loaded.
2024-03-21 01:26:36 info: Controller countryController.js loaded.
2024-03-21 01:26:36 info: Controller fileController.js loaded.
2024-03-21 01:26:36 info: Controller fileTypeController.js loaded.
2024-03-21 01:26:36 info: Controller journalController.js loaded.
2024-03-21 01:26:36 info: Controller keyGenController.js loaded.
2024-03-21 01:26:36 info: Controller subscriptionController.js loaded.
2024-03-21 01:26:36 info: Controller subscriptionTypeController.js loaded.
2024-03-21 01:26:36 info: Controller taskCommentController.js loaded.
2024-03-21 01:26:36 info: Controller taskJournalController.js loaded.
2024-03-21 01:26:36 info: Controller tasksController.js loaded.
2024-03-21 01:26:36 info: Controller taskStatusController.js loaded.
2024-03-21 01:26:37 info: Controller userController.js loaded.
2024-03-21 01:26:37 info: Controller userRoleController.js loaded.
2024-03-21 01:26:37 info: Controller usersFilesController.js loaded.
2024-03-21 01:26:37 info: Controller usersSubscriptionsController.js loaded.
2024-03-21 01:26:37 info: Server running on http://localhost:3000
2024-03-21 01:26:37 info: Models sync completed.
2024-03-21 01:26:59 info: Received request: POST /api/login
2024-03-21 01:27:15 info: Received request: GET /api/user/countries
2024-03-21 01:27:40 info: Received request: POST /api/login
2024-03-21 01:27:40 info: Received request: GET /api/moderator/countries
2024-03-21 01:27:40 info: Received request: POST /api/moderator/countries
2024-03-21 01:27:44 info: Received request: POST /api/moderator/countries
2024-03-21 01:27:47 info: Received request: GET /api/user/countries
2024-03-21 01:27:48 info: Received request: POST /api/moderator/countries
2024-03-21 01:27:50 info: Received request: GET /api/user/countries
2024-03-21 01:29:55 info: Received request: POST /api/login
2024-03-21 01:29:55 info: Received request: GET /api/moderator/countries
2024-03-21 01:29:56 info: Received request: POST /api/moderator/countries
2024-03-21 01:30:10 info: Received request: POST /api/login
2024-03-21 01:30:10 info: Received request: GET /api/moderator/countries
2024-03-21 01:30:10 info: Received request: POST /api/moderator/countries
2024-03-21 01:30:15 info: Received request: POST /api/moderator/countries
2024-03-21 01:30:17 info: Received request: POST /api/moderator/countries
2024-03-21 01:30:43 info: Received request: POST /api/login
2024-03-21 01:30:43 info: Received request: GET /api/moderator/countries
2024-03-21 01:30:49 info: Received request: POST /api/moderator/countries
2024-03-21 01:31:10 info: Received request: POST /api/login
2024-03-21 01:31:10 info: Received request: GET /api/moderator/countries
2024-03-21 01:31:13 info: Received request: POST /api/moderator/countries
2024-03-21 01:31:17 info: Received request: POST /api/moderator/countries
2024-03-21 01:35:58 info: Received request: POST /api/login
2024-03-21 01:35:58 info: Received request: GET /api/moderator/countries
2024-03-21 01:35:58 info: Received request: POST /api/moderator/countries
2024-03-21 01:36:01 info: Received request: POST /api/moderator/countries
2024-03-21 01:36:57 info: Received request: POST /api/login
2024-03-21 01:36:57 info: Received request: GET /api/moderator/countries
2024-03-21 01:36:57 info: Received request: GET /api/moderator/countries
2024-03-21 01:37:00 info: Received request: POST /api/moderator/countries
2024-03-21 01:37:04 info: Received request: GET /api/moderator/countries
2024-03-21 01:38:40 info: Received request: POST /api/login
2024-03-21 01:38:40 info: Received request: GET /api/user/countries
2024-03-21 01:38:40 info: Received request: POST /api/moderator/countries
2024-03-21 01:38:46 info: Received request: POST /api/moderator/countries
2024-03-21 01:38:50 info: Received request: POST /api/moderator/countries
2024-03-21 01:39:11 info: Received request: POST /api/login
2024-03-21 01:39:11 info: Received request: GET /api/user/countries
2024-03-21 01:39:11 info: Received request: PATCH /api/admin/countries/1/logicalDelete
2024-03-21 01:39:20 info: Received request: PATCH /api/admin/countries/2/logicalDelete
2024-03-21 01:40:36 info: Received request: POST /api/login
2024-03-21 01:40:36 info: Received request: GET /api/user/countries
2024-03-21 01:40:36 info: Received request: POST /api/moderator/countries
2024-03-21 01:40:41 info: Received request: POST /api/moderator/countries
2024-03-21 01:40:45 info: Received request: POST /api/moderator/countries
2024-03-21 01:45:42 info: Received request: POST /api/login
2024-03-21 01:45:42 info: Received request: GET /api/user/countries
2024-03-21 01:45:42 info: Received request: PATCH /api/admin/countries/3/logicalDelete
2024-03-21 01:45:47 info: Received request: PATCH /api/admin/countries/4/logicalDelete
2024-03-21 01:48:41 info: Received request: POST /api/login
2024-03-21 01:48:41 info: Received request: GET /api/user/countries
2024-03-21 01:48:41 info: Received request: POST /api/moderator/countries
2024-03-21 01:48:42 info: Received request: POST /api/login
2024-03-21 01:48:42 info: Received request: GET /api/user/countries
2024-03-21 01:48:42 info: Received request: POST /api/moderator/countries
2024-03-21 01:48:43 info: Received request: POST /api/login
2024-03-21 01:48:43 info: Received request: GET /api/user/countries
2024-03-21 01:48:43 info: Received request: POST /api/moderator/countries
2024-03-21 01:48:43 info: Received request: POST /api/moderator/countries
2024-03-21 01:48:44 info: Received request: POST /api/login
2024-03-21 01:48:44 info: Received request: GET /api/user/countries
2024-03-21 01:48:44 info: Received request: PATCH /api/admin/countries/5/logicalDelete
2024-03-21 01:48:45 info: Received request: POST /api/login
2024-03-21 01:48:45 info: Received request: GET /api/user/countries
2024-03-21 01:48:45 info: Received request: PATCH /api/admin/countries/6/logicalDelete
2024-03-21 01:48:46 info: Received request: POST /api/login
2024-03-21 01:48:46 info: Received request: GET /api/user/countries
2024-03-21 01:48:46 info: Received request: PATCH /api/admin/countries/7/logicalDelete
2024-03-21 01:48:46 info: Received request: PATCH /api/admin/countries/5/logicalDelete
2024-03-21 01:48:47 info: Received request: POST /api/login
2024-03-21 01:48:47 info: Received request: GET /api/user/countries
2024-03-21 01:48:47 info: Received request: PATCH /api/admin/countries/8/logicalDelete
2024-03-21 01:48:47 info: Received request: PATCH /api/admin/countries/5/logicalDelete
2024-03-21 01:48:48 info: Received request: POST /api/login
2024-03-21 01:48:48 info: Received request: GET /api/user/countries
2024-03-21 01:48:48 info: Received request: PATCH /api/admin/countries/9/logicalDelete
2024-03-21 01:48:48 info: Received request: POST /api/moderator/countries
2024-03-21 01:48:48 info: Received request: POST /api/moderator/countries
2024-03-21 01:48:49 info: Received request: POST /api/login
2024-03-21 01:48:49 info: Received request: GET /api/user/countries
2024-03-21 01:48:49 info: Received request: PATCH /api/admin/countries/10/logicalDelete
2024-03-21 01:48:49 info: Received request: PATCH /api/admin/countries/6/logicalDelete
2024-03-21 01:48:50 info: Received request: POST /api/moderator/countries
2024-03-21 01:48:50 info: Received request: POST /api/moderator/countries
2024-03-21 01:48:50 info: Received request: POST /api/login
2024-03-21 01:48:50 info: Received request: GET /api/user/countries
2024-03-21 01:48:50 info: Received request: PATCH /api/admin/countries/11/logicalDelete
