2024-03-27 04:24:04 [info] info: Model Cheque loaded.
2024-03-27 04:24:04 [info] info: Model ChequeType loaded.
2024-03-27 04:24:04 [info] info: Model Country loaded.
2024-03-27 04:24:04 [info] info: Model File loaded.
2024-03-27 04:24:04 [info] info: Model FileType loaded.
2024-03-27 04:24:04 [info] info: Model Journal loaded.
2024-03-27 04:24:04 [info] info: Model Subscription loaded.
2024-03-27 04:24:04 [info] info: Model SubscriptionType loaded.
2024-03-27 04:24:04 [info] info: Model Task loaded.
2024-03-27 04:24:04 [info] info: Model TaskComment loaded.
2024-03-27 04:24:04 [info] info: Model TaskJournal loaded.
2024-03-27 04:24:04 [info] info: Model TaskStatus loaded.
2024-03-27 04:24:04 [info] info: Model User loaded.
2024-03-27 04:24:04 [info] info: Model UserRole loaded.
2024-03-27 04:24:04 [info] info: Model UsersFiles loaded.
2024-03-27 04:24:04 [info] info: Model UsersSubscriptions loaded.
2024-03-27 04:24:04 [info] info: Controller archiveController.js loaded.
2024-03-27 04:24:04 [info] info: Controller authenticationController.js loaded.
2024-03-27 04:24:04 [info] info: Controller backupController.js loaded.
2024-03-27 04:24:04 [info] info: Controller chequeController.js loaded.
2024-03-27 04:24:04 [info] info: Controller chequeTypeController.js loaded.
2024-03-27 04:24:04 [info] info: Controller countryController.js loaded.
2024-03-27 04:24:05 [info] info: Controller fileController.js loaded.
2024-03-27 04:24:05 [info] info: Controller fileTypeController.js loaded.
2024-03-27 04:24:05 [info] info: Controller journalController.js loaded.
2024-03-27 04:24:05 [info] info: Controller keyGenController.js loaded.
2024-03-27 04:24:05 [info] info: Controller subscriptionController.js loaded.
2024-03-27 04:24:05 [info] info: Controller subscriptionTypeController.js loaded.
2024-03-27 04:24:05 [info] info: Controller taskCommentController.js loaded.
2024-03-27 04:24:05 [info] info: Controller taskJournalController.js loaded.
2024-03-27 04:24:05 [info] info: Controller tasksController.js loaded.
2024-03-27 04:24:05 [info] info: Controller taskStatusController.js loaded.
2024-03-27 04:24:06 [info] info: Controller userController.js loaded.
2024-03-27 04:24:06 [info] info: Controller userRoleController.js loaded.
2024-03-27 04:24:06 [info] info: Controller usersFilesController.js loaded.
2024-03-27 04:24:06 [info] info: Controller usersSubscriptionsController.js loaded.
2024-03-27 04:24:06 [info] info: Server running on http://localhost:3000
2024-03-27 04:24:06 [info] info: Models sync completed.
2024-03-27 04:24:21 [info] info: Received request: POST /api/login
2024-03-27 04:24:21 [info] info: Received request: GET /api/user/countries
2024-03-27 04:24:22 [info] info: Received request: POST /api/login
2024-03-27 04:24:22 [info] info: Received request: GET /api/user/countries
2024-03-27 04:24:22 [info] info: Received request: PATCH /api/admin/countries/35/logicalDelete
2024-03-27 04:24:23 [info] info: Received request: POST /api/login
2024-03-27 04:24:23 [info] info: Received request: GET /api/user/countries
2024-03-27 04:24:23 [info] info: Received request: PATCH /api/admin/countries/36/logicalDelete
2024-03-27 04:24:24 [info] info: Received request: POST /api/login
2024-03-27 04:24:24 [info] info: Received request: GET /api/user/countries
2024-03-27 04:24:25 [info] info: Received request: POST /api/login
2024-03-27 04:24:25 [info] info: Received request: GET /api/user/countries
2024-03-27 04:24:25 [info] info: Received request: POST /api/moderator/countries
2024-03-27 04:24:26 [info] info: Received request: POST /api/moderator/countries
2024-03-27 04:24:26 [info] info: Received request: PATCH /api/admin/countries/24/logicalRestore
2024-03-27 04:24:26 [info] info: Received request: POST /api/login
2024-03-27 04:24:26 [info] info: Received request: GET /api/user/countries
2024-03-27 04:24:27 [info] info: Received request: POST /api/login
2024-03-27 04:24:27 [info] info: Received request: GET /api/user/countries
2024-03-27 04:24:28 [info] info: Received request: POST /api/login
2024-03-27 04:24:28 [info] info: Received request: GET /api/user/countries
2024-03-27 04:24:28 [info] info: Received request: PATCH /api/admin/countries/2/logicalRestore
2024-03-27 04:24:29 [info] info: Received request: POST /api/login
2024-03-27 04:24:29 [info] info: Received request: GET /api/user/countries
2024-03-27 04:24:29 [info] info: Received request: POST /api/moderator/countries
2024-03-27 04:24:29 [info] info: Received request: PATCH /api/admin/countries/24/logicalRestore
2024-03-27 04:24:30 [info] info: Received request: POST /api/login
2024-03-27 04:24:30 [info] info: Received request: GET /api/user/countries
2024-03-27 04:24:30 [info] info: Received request: PATCH /api/admin/countries/2/logicalDelete
2024-03-27 04:26:28 [info] info: Received request: POST /api/login
2024-03-27 04:26:28 [info] info: Received request: GET /api/user/countries
2024-03-27 04:26:29 [info] info: Received request: POST /api/moderator/countries
